bigg_id	universal_bigg_id	name	model_list	database_links	old_bigg_ids
10fthf_c	10fthf	10-Formyltetrahydrofolate	iJO1366; Recon3D; iSB619; iECO26_1355; iPC815; iEcE24377_1341; ic_1306; iEcHS_1320; iSF_1195; iECABU_c1320; iE2348C_1286; iECED1_1282; iAPECO1_1312; iECD_1391; iEC042_1314; iECIAI39_1322; iJN746; iECNA114_1301; iEC55989_1330; iECO103_1326; iAF1260; iECO111_1330; iMM904; iECDH1ME8569_1439; iIT341; iECB_1328; iNJ661; iEcDH1_1363; iBWG_1329; iECIAI1_1343; iND750; iECH74115_1262; iB21_1397; iECDH10B_1368; iSDY_1059; iECBD_1354; iS_1188; iUMN146_1321; iSFxv_1172; iJN678; iSbBS512_1146; iUMNK88_1353; iLF82_1304; iAF987; iNRG857_1313; iMM1415; iG2583_1286; iUTI89_1310; iSFV_1184; iJR904; iSBO_1134; iZ_1308; iETEC_1333; STM_v1_0; iEKO11_1354; iYL1228; iEcSMS35_1347; iSSON_1240; iECSF_1327; iWFL_1372; iECs_1301; RECON1; iECSE_1348; iYO844; iEcolC_1368; iML1515; iECS88_1305; iAF1260b; iECSP_1301; iAF692; iECUMN_1333; iLJ478; iECP_1309; iLB1027_lipid; iECW_1372; iAT_PLT_636; iECOK1_1307; iRC1080; iCHOv1; iY75_1357; iJB785; iNF517; iHN637	Reactome: http://www.reactome.org/content/detail/R-ALL-5389850; CHEBI: http://identifiers.org/chebi/CHEBI:19108; SEED Compound: http://identifiers.org/seed.compound/cpd00201; CHEBI: http://identifiers.org/chebi/CHEBI:19109; KEGG Compound: http://identifiers.org/kegg.compound/C00234; CHEBI: http://identifiers.org/chebi/CHEBI:57454; CHEBI: http://identifiers.org/chebi/CHEBI:698; Reactome: http://www.reactome.org/content/detail/R-ALL-419151; CHEBI: http://identifiers.org/chebi/CHEBI:11304; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00972; BioCyc: http://identifiers.org/biocyc/META:10-FORMYL-THF; CHEBI: http://identifiers.org/chebi/CHEBI:15637; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM237	10fthf; 10fthf[c]; 10fthf_c; _10fthf_c
12dgr120_c	12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)	iZ_1308; iY75_1357; STM_v1_0; iAF1260b; iSSON_1240; iHN637; iUTI89_1310; iML1515; iWFL_1372; iECED1_1282; iUMNK88_1353; iECO26_1355; iYL1228; iECNA114_1301; iUMN146_1321; iEcHS_1320; iAF987; iECD_1391; iB21_1397; iECIAI39_1322; ic_1306; iECDH1ME8569_1439; iJO1366; iEcE24377_1341; iPC815; iECABU_c1320; iE2348C_1286; iEC55989_1330; iSF_1195; iECH74115_1262; iEC042_1314; iEcDH1_1363; iAPECO1_1312; iECO111_1330; iBWG_1329; iECBD_1354; iAF1260; iECDH10B_1368; iECSP_1301; iECIAI1_1343; iEcSMS35_1347; iECB_1328; iECSE_1348; iECO103_1326; iECOK1_1307; iSDY_1059; iECP_1309; iSbBS512_1146; iECs_1301; iLF82_1304; iECSF_1327; iEKO11_1354; iECUMN_1333; iSFxv_1172; iECW_1372; iG2583_1286; iEcolC_1368; iETEC_1333; iECS88_1305; iNRG857_1313; iSFV_1184; iSBO_1134; iS_1188	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4939	12dgr120; 12dgr120[c]; 12dgr120_c; _12dgr120_c
12dgr140_c	12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)	iECIAI1_1343; iSFV_1184; iECNA114_1301; iSFxv_1172; iECO103_1326; iLF82_1304; iEcDH1_1363; iEKO11_1354; iECD_1391; iSBO_1134; iECDH1ME8569_1439; iS_1188; iECIAI39_1322; iSDY_1059; iECABU_c1320; iETEC_1333; iECO111_1330; iNRG857_1313; iEC55989_1330; iG2583_1286; iECB_1328; iSbBS512_1146; iECDH10B_1368; iAF987; iECBD_1354; iUTI89_1310; iECH74115_1262; iWFL_1372; iECED1_1282; iYL1228; iEcE24377_1341; iSSON_1240; iECO26_1355; iUMNK88_1353; iEcHS_1320; STM_v1_0; iLB1027_lipid; iZ_1308; iML1515; iUMN146_1321; iY75_1357; iEcSMS35_1347; iAF1260b; iEcolC_1368; iHN637; iECW_1372; iB21_1397; iECSE_1348; ic_1306; iECUMN_1333; iPC815; iECSP_1301; iE2348C_1286; iECS88_1305; iSF_1195; iECSF_1327; iEC042_1314; iECs_1301; iAPECO1_1312; iECOK1_1307; iJO1366; iECP_1309; iAF1260; iBWG_1329	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM146479	12dgr140; 12dgr140[c]; 12dgr140_c; _12dgr140_c
12dgr161_c	12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)	iSFV_1184; iECBD_1354; iSFxv_1172; iECABU_c1320; iETEC_1333; iECO26_1355; iNRG857_1313; iEcHS_1320; iLF82_1304; iEcDH1_1363; iG2583_1286; iEcE24377_1341; iSBO_1134; iECD_1391; iEKO11_1354; iEC55989_1330; iSbBS512_1146; iECNA114_1301; iSDY_1059; iECO103_1326; iS_1188; iECH74115_1262; iLB1027_lipid; iECIAI39_1322; iYL1228; iECB_1328; iUTI89_1310; iECED1_1282; iWFL_1372; iECDH10B_1368; iZ_1308; iECIAI1_1343; iAF987; iECO111_1330; iSSON_1240; iECDH1ME8569_1439; iUMN146_1321; iECUMN_1333; STM_v1_0; iECSF_1327; iUMNK88_1353; iECP_1309; iJN678; iEcolC_1368; iB21_1397; iECW_1372; iPC815; iEcSMS35_1347; ic_1306; iECSP_1301; iE2348C_1286; iECS88_1305; iSF_1195; iECSE_1348; iEC042_1314; iECs_1301; iAPECO1_1312; iECOK1_1307; iJO1366; iJB785; iAF1260; iHN637; iBWG_1329; iML1515; iAF1260b; iY75_1357	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM3774	12dgr161; 12dgr161[c]; 12dgr161_c; _12dgr161_c
12dgr180_c	12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)	iB21_1397; iAF1260b; ic_1306; iHN637; iPC815; iML1515; iE2348C_1286; iY75_1357; iSF_1195; iECABU_c1320; iEC042_1314; iEcHS_1320; iAPECO1_1312; iEC55989_1330; iBWG_1329; iECO111_1330; iJO1366; iECB_1328; iAF1260; iEcDH1_1363; iSBO_1134; iECO103_1326; iSbBS512_1146; iECD_1391; iS_1188; iECED1_1282; iSFxv_1172; iECH74115_1262; iETEC_1333; iEcE24377_1341; iSFV_1184; iECNA114_1301; iEKO11_1354; iECDH1ME8569_1439; iNRG857_1313; iECDH10B_1368; iLF82_1304; iECIAI39_1322; iSDY_1059; iECBD_1354; iG2583_1286; iECO26_1355; iLB1027_lipid; iECIAI1_1343; iECs_1301; STM_v1_0; iECSF_1327; iUMNK88_1353; iECUMN_1333; iAF987; iECSP_1301; iYL1228; iECOK1_1307; iUMN146_1321; iEcSMS35_1347; iUTI89_1310; iEcolC_1368; iSSON_1240; iECW_1372; iJN678; iECS88_1305; iZ_1308; iECSE_1348; iWFL_1372; iECP_1309	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4217	12dgr180; 12dgr180[c]; 12dgr180_c; _12dgr180_c
12ppd__S_c	12ppd__S	(S)-Propane-1,2-diol	iECs_1301; iB21_1397; iECUMN_1333; ic_1306; iECW_1372; iPC815; iEcSMS35_1347; iE2348C_1286; iECSE_1348; iSF_1195; iECSF_1327; iJO1366; iECS88_1305; iEC042_1314; iECSP_1301; iAPECO1_1312; iECP_1309; iBWG_1329; iECOK1_1307; iAF1260; iEcolC_1368; iECH74115_1262; iSFxv_1172; iECNA114_1301; iSFV_1184; iECD_1391; iEKO11_1354; iEcDH1_1363; iS_1188; iEcE24377_1341; iSbBS512_1146; iECIAI39_1322; iSBO_1134; iECO26_1355; iETEC_1333; iECO111_1330; iG2583_1286; iECDH1ME8569_1439; iNRG857_1313; iECDH10B_1368; iSDY_1059; iECIAI1_1343; iLF82_1304; iECED1_1282; iCHOv1; iECB_1328; iHN637; iECO103_1326; iY75_1357; iECBD_1354; iAT_PLT_636; iECABU_c1320; RECON1; iEC55989_1330; iAF1260b; iEcHS_1320; iML1515; Recon3D; iUMNK88_1353; iJR904; iSSON_1240; iMM1415; iUTI89_1310; iUMN146_1321; STM_v1_0; iJN678; iZ_1308; iYL1228; iWFL_1372	KEGG Compound: http://identifiers.org/kegg.compound/C02917; CHEBI: http://identifiers.org/chebi/CHEBI:18799; CHEBI: http://identifiers.org/chebi/CHEBI:29002; CHEBI: http://identifiers.org/chebi/CHEBI:440; CHEBI: http://identifiers.org/chebi/CHEBI:45065; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06213; BioCyc: http://identifiers.org/biocyc/META:PROPANE-1-2-DIOL; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1255; SEED Compound: http://identifiers.org/seed.compound/cpd19024	12ppd-S[c]; 12ppd_DASH_S_c; 12ppd_S[c]; 12ppd_S_c; 12ppd__S; 12ppd__S_c
14dhncoa_c	14dhncoa	1,4-dihydroxy-2-napthoyl-CoA	iML1515; iECH74115_1262; iY75_1357; iECBD_1354; iJB785; iECABU_c1320; iUTI89_1310; iECD_1391; iWFL_1372; iEcE24377_1341; iSFxv_1172; iEC55989_1330; iUMN146_1321; iECIAI39_1322; iSSON_1240; iECNA114_1301; iZ_1308; iEcHS_1320; iUMNK88_1353; iECO103_1326; iSBO_1134; iECIAI1_1343; iETEC_1333; iECDH1ME8569_1439; iEKO11_1354; iECB_1328; iNRG857_1313; iECDH10B_1368; iS_1188; iECED1_1282; iG2583_1286; iEcDH1_1363; iSbBS512_1146; iECO111_1330; iSFV_1184; iB21_1397; iLF82_1304; ic_1306; iECW_1372; iE2348C_1286; iSDY_1059; iSF_1195; iEcSMS35_1347; iEC042_1314; iECS88_1305; iJO1366; iECO26_1355; iAPECO1_1312; iECSF_1327; iBWG_1329; iECs_1301; iECSE_1348; iECSP_1301; iECP_1309; iECUMN_1333; iEcolC_1368; iECOK1_1307	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM147663	14dhncoa; 14dhncoa_c
14glucan_c	14glucan	1,4-alpha-D-glucan	iB21_1397; iEcolC_1368; ic_1306; iECOK1_1307; iPC815; iECSP_1301; iE2348C_1286; iECW_1372; iSF_1195; iECS88_1305; iEC042_1314; iECSF_1327; iAPECO1_1312; iECUMN_1333; iJO1366; iEcSMS35_1347; iBWG_1329; iECSE_1348; iAF1260; iECP_1309; iSSON_1240; iECs_1301; STM_v1_0; iAF1260b; iUMN146_1321; iJB785; iZ_1308; iY75_1357; iUTI89_1310; iML1515; iWFL_1372; iEKO11_1354; iYL1228; iSFV_1184; iUMNK88_1353; iETEC_1333; iECDH1ME8569_1439; iG2583_1286; iECDH10B_1368; iSDY_1059; iECO103_1326; iS_1188; iECIAI39_1322; iLF82_1304; iECH74115_1262; iSbBS512_1146; iECB_1328; iSFxv_1172; iECD_1391; iSBO_1134; iEcHS_1320; iNRG857_1313; iEcE24377_1341; iEC55989_1330; iECBD_1354; iECED1_1282; iECNA114_1301; iECABU_c1320; iECO26_1355; iECIAI1_1343; iEcDH1_1363; iECO111_1330	BioCyc: http://identifiers.org/biocyc/META:1-4-alpha-D-Glucan; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM2905; SEED Compound: http://identifiers.org/seed.compound/cpd21754	14glucan; 14glucan_c
15dap_c	15dap	1,5-Diaminopentane	iUMN146_1321; iEcE24377_1341; iUTI89_1310; iECED1_1282; iWFL_1372; iEcDH1_1363; iSFxv_1172; iECIAI1_1343; iYL1228; iECBD_1354; iSSON_1240; iECO111_1330; iZ_1308; iECH74115_1262; STM_v1_0; iECNA114_1301; iUMNK88_1353; iECB_1328; iJR904; iECDH10B_1368; iJN678; iEC55989_1330; iECs_1301; iECIAI39_1322; iECP_1309; iECD_1391; iECOK1_1307; iECDH1ME8569_1439; iECSF_1327; iECABU_c1320; iECSE_1348; iEcHS_1320; iECSP_1301; iECO103_1326; iECO26_1355; iB21_1397; iEcolC_1368; iSB619; iECUMN_1333; ic_1306; iEcSMS35_1347; iE2348C_1286; iECS88_1305; iSF_1195; iLF82_1304; iEC042_1314; iNRG857_1313; iJN746; iSDY_1059; iAPECO1_1312; iSFV_1184; iJO1366; iSbBS512_1146; iAF1260; iECW_1372; iBWG_1329; iSBO_1134; iY75_1357; iETEC_1333; iHN637; iS_1188; iML1515; iG2583_1286; iYO844; iEKO11_1354; iAF1260b	KEGG Compound: http://identifiers.org/kegg.compound/C01672; CHEBI: http://identifiers.org/chebi/CHEBI:13928; CHEBI: http://identifiers.org/chebi/CHEBI:18127; CHEBI: http://identifiers.org/chebi/CHEBI:22974; CHEBI: http://identifiers.org/chebi/CHEBI:3288; CHEBI: http://identifiers.org/chebi/CHEBI:44370; CHEBI: http://identifiers.org/chebi/CHEBI:58384; Human Metabolome Database: http://identifiers.org/hmdb/HMDB02322; BioCyc: http://identifiers.org/biocyc/META:CADAVERINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM943; SEED Compound: http://identifiers.org/seed.compound/cpd01155	15dap; 15dap[c]; 15dap_c
1ddecg3p_c	1ddecg3p	1-dodecanoyl-sn-glycerol 3-phosphate	iLF82_1304; iY75_1357; iECW_1372; iML1515; iSFxv_1172; iAF1260b; iETEC_1333; iHN637; iS_1188; iECH74115_1262; iSDY_1059; iECB_1328; iEKO11_1354; iECO103_1326; iNRG857_1313; iECIAI39_1322; iSbBS512_1146; iECD_1391; iSBO_1134; iECO26_1355; iG2583_1286; iECNA114_1301; iSFV_1184; iECED1_1282; iZ_1308; iECIAI1_1343; iAF987; iEcE24377_1341; iUMN146_1321; iEcDH1_1363; iUTI89_1310; iECABU_c1320; iSSON_1240; iECBD_1354; STM_v1_0; iECO111_1330; iUMNK88_1353; iEC55989_1330; iYL1228; iECDH1ME8569_1439; iWFL_1372; iEcHS_1320; iB21_1397; iECDH10B_1368; iPC815; iECOK1_1307; ic_1306; iECS88_1305; iE2348C_1286; iECSF_1327; iSF_1195; iEcSMS35_1347; iEC042_1314; iECP_1309; iJN746; iECs_1301; iAPECO1_1312; iECUMN_1333; iAF1260; iECSP_1301; iBWG_1329; iEcolC_1368; iJO1366; iECSE_1348	CHEBI: http://identifiers.org/chebi/CHEBI:62840; CHEBI: http://identifiers.org/chebi/CHEBI:72682; LipidMaps: http://identifiers.org/lipidmaps/LMGP10050015; BioCyc: http://identifiers.org/biocyc/META:CPD0-2200; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4232; SEED Compound: http://identifiers.org/seed.compound/cpd15325	1ddecg3p; 1ddecg3p[c]; 1ddecg3p_c; _1ddecg3p_c
