rxns	rxnNames	rxnEquations	sol.x R5	sol.x (min flux) R5	sol.x (min flux) FINAL MODEL	mu when added	in Sco-GEM?	oldDir	newDirection	changeDir
3OAR40_1	(3R)-3-hydroxybutanoyl-[acyl-carrier protein]:NADP+ oxidoreductase	3haACP_c + nadp_c <==> actACP_c + h_c + nadph_c	-1000,00	0,00	0,00	0,07	0	0	1	1
ASNTRAT	Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	adp_c + glu__L_c + pi_c + asntrna_c --> atp_c + gln__L_c + h2o_c + asptrna_asn_c	0,00	0,00	0,00	0,07	0	1	-1	-2
BATHORHODOPSINI		bathorhodopsin_c --> lumirhodopsin_c	0,00	0,00	0,00	0,07	0	1	1	0
BLACT	Penicillin hydrolase	h2o_c + pencil_c --> pencilca_c	0,00	0,00	0,00	0,07	0	1	1	0
COA1819ZD9DS	steroyl-CoA,hydrogen-donor:oxygen oxidoreductase	(2) h_c + o2_c + stcoa_c + (2) focytb5_c --> (2) h2o_c + ocdce9coa_c + (2) ficytb5_c	0,00	0,00	0,00	0,07	0	1	1	0
DDMCITALOR	didemethylcitalopram:oxygen oxidoreductase(deaminating)(flavin-containing)	h2o_c + o2_c + ddmcital_c --> h2o2_c + nh4_c + citalald_c	0,00	0,00	0,00	0,07	0	1	1	0
DMT	S-adenosyl-L-methionine:DNA (cytosine-5-)-methyltransferase	amet_c + dnac_c <==> ahcys_c + dna5mtc_c	0,00	0,00	0,00	0,07	1	0	0	0
GLNTRAT	Glu-tRNA(Gln):L-glutamine amido-ligase(ADP-forming)	adp_c + glntrna_c + glu__L_c + pi_c <==> atp_c + gln__L_c + h2o_c + glutrna_gln_c	0,00	0,00	0,00	0,07	0	0	0	0
LUMIRHODOPSINI		lumirhodopsin_c --> metarhodopsin_c	0,00	0,00	0,00	0,07	0	1	1	0
NTRLASE	3-Indoleacetonitrile aminohydrolase	(2) h2o_c + ind3acnl_c <==> ind3ac_c + nh4_c	0,00	0,00	0,00	0,07	0	0	0	0
NTRLASE2	alpha-Aminopropiononitrile aminohydrolase	(2) h2o_c + aprop_c <==> ala__L_c + nh4_c	0,00	0,00	0,00	0,07	0	0	0	0
NTRLASE3	gamma-Amino-gamma-cyanobutanoate aminohydrolase	(2) h2o_c + acybut_c <==> glu__L_c + nh4_c	0,00	0,00	0,00	0,07	0	0	0	0
SAGH_glycan		h2o_c + sucr_c <==> Glc_aD_c + fru_B_c	1000,00	0,00	0,00	0,07	0	0	1	1
SELCYSS	selenophosphate:L-seryl-tRNASec selenium transferase	selnp_c + sertrna_sec_c <==> pi_c + sectrna_c	0,00	0,00	0,00	0,07	0	0	0	0
KAS15	acetyl-CoA:malonyl-[acyl-carrier protein] C-acetyltransferase (decarboxylating)	accoa_c + malACP_c <==> actACP_c + co2_c + coa_c	-1000,00	-52,01	0,00	0,12	1	0	1	1
ASPO2y	L-aspartate:NADP+ oxidoreductase (deaminating)	asp__L_c + nadp_c <==> h_c + iasp_c + nadph_c	-1000,00	0,00	0,00	0,07	0	0	1	1
ASPO2	L-aspartate:NAD+ oxidoreductase (deaminating)	asp__L_c + nad_c <==> h_c + iasp_c + nadh_c	0,00	0,00	0,00	0,07	0	0	1	1
HSERTA	Acetyl-CoA:L-homoserine O-acetyltransferase	accoa_c + hom__L_c --> achms_c + coa_c	0,01	0,00	0,01	0,07	0	1	1	0
NFORGLUAH	N-Formyl-L-glutamate amidohydrolase	Nforglu_c + h2o_c --> for_c + glu__L_c	0,00	0,00	0,00	0,07	0	1	1	0
FADRx	FADH2:NAD+ oxidoreductase	fadh2_c + nad_c <==> fad_c + h_c + nadh_c	1000,00	0,00	0,00	0,07	0	0	1	1
2AMACHYD	2-aminoacrylate aminohydrolase	2amac_c + h2o_c <==> nh4_c + pyr_c	0,00	0,00	0,00	0,07	0	0	0	0
GLYTA	Glycine:2-oxoglutarate aminotransferase	akg_c + gly_c <==> glu__L_c + glx_c	-1000,00	1,20	0,00	0,07	0	0	0	0
AGTi	L-Alanine:glyoxylate aminotransferase	ala__L_c + glx_c <==> gly_c + pyr_c	-1000,00	-1,24	0,00	0,07	0	0	0	0
MMM2	(R)-Methylmalonyl-CoA CoA-carbonylmutase	mmcoa__R_c <==> succoa_c	-999,91	0,00	0,00	0,07	0	0	0	0
PDH	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating);	coa_c + nad_c + pyr_c --> accoa_c + co2_c + h_c + nadh_c	0,00	0,00	0,00	0,07	1	1	1	0
SPT_syn	L-Serine:glyoxylate aminotransferase	glx_c + ser__L_c <==> gly_c + hpyr_c	-999,78	0,61	0,00	0,07	0	0	0	0
34DHOXPEGOX	3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase	nad_c + 34dhoxpeg_c <==> h_c + nadh_c + 34dhmald_c	0,00	0,00	0,00	0,07	0	0	1	1
